"MCODE::Clusters (1)","MCODE::Clusters (2)","MCODE::Node Status (1)","MCODE::Node Status (2)","MCODE::Score (1)","MCODE::Score (2)","name","selected","shared name"
"Cluster 1","Cluster 1","Clustered","Clustered","32.29587482219061","32.29587482219061","""9606.ENSP00000480826""","false","""9606.ENSP00000480826"""
"Cluster 1","Cluster 1","Clustered","Clustered","32.29587482219061","32.29587482219061","""9606.ENSP00000244537""","false","""9606.ENSP00000244537"""
"Cluster 1","Cluster 1","Clustered","Clustered","32.29587482219061","32.29587482219061","""9606.ENSP00000479106""","false","""9606.ENSP00000479106"""
"Cluster 1","Cluster 1","Clustered","Clustered","32.29587482219061","32.29587482219061","""9606.ENSP00000482271""","false","""9606.ENSP00000482271"""
"Cluster 1","Cluster 1","Clustered","Clustered","30.941287878787875","30.941287878787875","""9606.ENSP00000278412""","false","""9606.ENSP00000278412"""
"Cluster 1","Cluster 1","Clustered","Clustered","32.29587482219061","32.29587482219061","""9606.ENSP00000484638""","false","""9606.ENSP00000484638"""
"Cluster 1","Cluster 1","Clustered","Clustered","32.29587482219061","32.29587482219061","""9606.ENSP00000483283""","false","""9606.ENSP00000483283"""
"Cluster 1","Cluster 1","Clustered","Clustered","32.29587482219061","32.29587482219061","""9606.ENSP00000366962""","false","""9606.ENSP00000366962"""
"Cluster 1","Cluster 1","Clustered","Clustered","32.29587482219061","32.29587482219061","""9606.ENSP00000366956""","false","""9606.ENSP00000366956"""
"Cluster 1","Cluster 1","Seed","Seed","32.29587482219061","32.29587482219061","""9606.ENSP00000484841""","false","""9606.ENSP00000484841"""
"Cluster 1","Cluster 1","Clustered","Clustered","29.829545454545453","29.829545454545453","""9606.ENSP00000445831""","false","""9606.ENSP00000445831"""
,,"Unclustered","Unclustered","25.0","25.0","""9606.ENSP00000386239""","false","""9606.ENSP00000386239"""
"Cluster 1","Cluster 1","Clustered","Clustered","32.29587482219061","32.29587482219061","""9606.ENSP00000484789""","false","""9606.ENSP00000484789"""
"Cluster 1","Cluster 1","Clustered","Clustered","26.96470588235294","26.96470588235294","""9606.ENSP00000265056""","false","""9606.ENSP00000265056"""
"Cluster 1","Cluster 1","Clustered","Clustered","26.93349753694581","26.93349753694581","""9606.ENSP00000209728""","false","""9606.ENSP00000209728"""
"Cluster 1","Cluster 1","Clustered","Clustered","31.644444444444446","31.644444444444446","""9606.ENSP00000483237""","false","""9606.ENSP00000483237"""
"Cluster 1","Cluster 1","Clustered","Clustered","32.29587482219061","32.29587482219061","""9606.ENSP00000443017""","false","""9606.ENSP00000443017"""
"Cluster 1","Cluster 1","Clustered","Clustered","30.029871977240397","30.029871977240397","""9606.ENSP00000366618""","false","""9606.ENSP00000366618"""
"Cluster 1","Cluster 1","Clustered","Clustered","31.423423423423422","31.423423423423422","""9606.ENSP00000289316""","false","""9606.ENSP00000289316"""
"Cluster 1","Cluster 1","Clustered","Clustered","28.8752688172043","28.8752688172043","""9606.ENSP00000244573""","false","""9606.ENSP00000244573"""
"Cluster 1","Cluster 1","Clustered","Clustered","31.47147147147147","31.47147147147147","""9606.ENSP00000321744""","false","""9606.ENSP00000321744"""
"Cluster 1","Cluster 1","Clustered","Clustered","32.29587482219061","32.29587482219061","""9606.ENSP00000462355""","false","""9606.ENSP00000462355"""
"Cluster 1","Cluster 1","Clustered","Clustered","27.935632183908044","27.935632183908044","""9606.ENSP00000209875""","false","""9606.ENSP00000209875"""
"Cluster 1","Cluster 1","Clustered","Clustered","31.885918003565063","31.885918003565063","""9606.ENSP00000216297""","false","""9606.ENSP00000216297"""
"Cluster 1","Cluster 1","Clustered","Clustered","31.32732732732733","31.32732732732733","""9606.ENSP00000434024""","false","""9606.ENSP00000434024"""
"Cluster 1","Cluster 1","Clustered","Clustered","30.83422459893048","30.83422459893048","""9606.ENSP00000339566""","false","""9606.ENSP00000339566"""
"Cluster 1","Cluster 1","Clustered","Clustered","32.29587482219061","32.29587482219061","""9606.ENSP00000481486""","false","""9606.ENSP00000481486"""
"Cluster 1","Cluster 1","Clustered","Clustered","30.31111111111111","30.31111111111111","""9606.ENSP00000476136""","false","""9606.ENSP00000476136"""
"Cluster 1","Cluster 1","Clustered","Clustered","32.29587482219061","32.29587482219061","""9606.ENSP00000358160""","false","""9606.ENSP00000358160"""
"Cluster 1","Cluster 1","Clustered","Clustered","26.0","26.0","""9606.ENSP00000346997""","false","""9606.ENSP00000346997"""
"Cluster 1","Cluster 1","Clustered","Clustered","31.784873949579833","31.784873949579833","""9606.ENSP00000348924""","false","""9606.ENSP00000348924"""
"Cluster 1","Cluster 1","Clustered","Clustered","30.36031746031746","30.36031746031746","""9606.ENSP00000482674""","false","""9606.ENSP00000482674"""
"Cluster 1","Cluster 1","Clustered","Clustered","32.29587482219061","32.29587482219061","""9606.ENSP00000479794""","false","""9606.ENSP00000479794"""
"Cluster 1","Cluster 1","Clustered","Clustered","30.0","30.0","""9606.ENSP00000352516""","false","""9606.ENSP00000352516"""
"Cluster 1","Cluster 1","Clustered","Clustered","32.29587482219061","32.29587482219061","""9606.ENSP00000347168""","false","""9606.ENSP00000347168"""
"Cluster 1","Cluster 1","Clustered","Clustered","32.29587482219061","32.29587482219061","""9606.ENSP00000479461""","false","""9606.ENSP00000479461"""
"Cluster 1","Cluster 1","Clustered","Clustered","27.604838709677416","27.604838709677416","""9606.ENSP00000255120""","false","""9606.ENSP00000255120"""
"Cluster 1","Cluster 1","Clustered","Clustered","32.29587482219061","32.29587482219061","""9606.ENSP00000480960""","false","""9606.ENSP00000480960"""
"Cluster 1","Cluster 1","Clustered","Clustered","32.29587482219061","32.29587482219061","""9606.ENSP00000484658""","false","""9606.ENSP00000484658"""
"Cluster 1","Cluster 1","Clustered","Clustered","31.784873949579833","31.784873949579833","""9606.ENSP00000445633""","false","""9606.ENSP00000445633"""
"Cluster 1","Cluster 1","Clustered","Clustered","32.29587482219061","32.29587482219061","""9606.ENSP00000366974""","false","""9606.ENSP00000366974"""
"Cluster 1","Cluster 1","Clustered","Clustered","32.29587482219061","32.29587482219061","""9606.ENSP00000367034""","false","""9606.ENSP00000367034"""
"Cluster 1","Cluster 1","Clustered","Clustered","32.29587482219061","32.29587482219061","""9606.ENSP00000366999""","false","""9606.ENSP00000366999"""
"Cluster 1","Cluster 1","Clustered","Clustered","32.29587482219061","32.29587482219061","""9606.ENSP00000462667""","false","""9606.ENSP00000462667"""
"Cluster 1","Cluster 1","Clustered","Clustered","32.29587482219061","32.29587482219061","""9606.ENSP00000484095""","false","""9606.ENSP00000484095"""
"Cluster 1","Cluster 1","Clustered","Clustered","31.32732732732733","31.32732732732733","""9606.ENSP00000332790""","false","""9606.ENSP00000332790"""
"Cluster 1","Cluster 1","Clustered","Clustered","32.29587482219061","32.29587482219061","""9606.ENSP00000352252""","false","""9606.ENSP00000352252"""
"Cluster 1","Cluster 1","Clustered","Clustered","26.0","26.0","""9606.ENSP00000273853""","false","""9606.ENSP00000273853"""
"Cluster 1","Cluster 1","Clustered","Clustered","29.829545454545453","29.829545454545453","""9606.ENSP00000320147""","false","""9606.ENSP00000320147"""
