"MCODE::Clusters (1)","MCODE::Clusters (2)","MCODE::Node Status (1)","MCODE::Node Status (2)","MCODE::Score (1)","MCODE::Score (2)","name","selected","shared name"
"Cluster 1","Cluster 1","Clustered","Seed","32.29587482219061","32.29587482219061","""9606.ENSP00000484841""","true","""9606.ENSP00000484841"""
"Cluster 1","Cluster 1","Clustered","Clustered","32.29587482219061","32.29587482219061","""9606.ENSP00000484789""","true","""9606.ENSP00000484789"""
"Cluster 1","Cluster 1","Clustered","Clustered","32.29587482219061","32.29587482219061","""9606.ENSP00000484658""","true","""9606.ENSP00000484658"""
"Cluster 1","Cluster 1","Clustered","Clustered","32.29587482219061","32.29587482219061","""9606.ENSP00000484638""","true","""9606.ENSP00000484638"""
"Cluster 1","Cluster 1","Clustered","Clustered","32.29587482219061","32.29587482219061","""9606.ENSP00000484095""","true","""9606.ENSP00000484095"""
"","","Unclustered","Unclustered","1.0","1.0","""9606.ENSP00000260453""","false","""9606.ENSP00000260453"""
"Cluster 9","","Clustered","Unclustered","1.6666666666666667","1.6666666666666667","""9606.ENSP00000483356""","false","""9606.ENSP00000483356"""
"Cluster 1","Cluster 1","Clustered","Clustered","32.29587482219061","32.29587482219061","""9606.ENSP00000483283""","true","""9606.ENSP00000483283"""
"Cluster 1","Cluster 1","Clustered","Clustered","31.644444444444446","31.644444444444446","""9606.ENSP00000483237""","true","""9606.ENSP00000483237"""
"Cluster 1","Cluster 1","Clustered","Clustered","30.36031746031746","30.36031746031746","""9606.ENSP00000482674""","true","""9606.ENSP00000482674"""
"Cluster 1","Cluster 1","Clustered","Clustered","32.29587482219061","32.29587482219061","""9606.ENSP00000482271""","true","""9606.ENSP00000482271"""
"","","Unclustered","Unclustered","1.0","1.0","""9606.ENSP00000482093""","false","""9606.ENSP00000482093"""
"","","Unclustered","Unclustered","1.0","1.0","""9606.ENSP00000481994""","false","""9606.ENSP00000481994"""
"Cluster 1","Cluster 1","Clustered","Clustered","32.29587482219061","32.29587482219061","""9606.ENSP00000481486""","true","""9606.ENSP00000481486"""
"Cluster 3","","Clustered","Unclustered","15.27127659574468","15.27127659574468","""9606.ENSP00000480987""","false","""9606.ENSP00000480987"""
"Cluster 1","Cluster 1","Clustered","Clustered","32.29587482219061","32.29587482219061","""9606.ENSP00000480960""","true","""9606.ENSP00000480960"""
"Cluster 1","Cluster 1","Clustered","Clustered","32.29587482219061","32.29587482219061","""9606.ENSP00000480826""","true","""9606.ENSP00000480826"""
"Cluster 1","Cluster 1","Clustered","Clustered","32.29587482219061","32.29587482219061","""9606.ENSP00000479794""","true","""9606.ENSP00000479794"""
"Cluster 4","","Clustered","Unclustered","12.624584717607974","12.624584717607974","""9606.ENSP00000479617""","false","""9606.ENSP00000479617"""
"","","Unclustered","Unclustered","1.0","1.0","""9606.ENSP00000479518""","false","""9606.ENSP00000479518"""
"Cluster 1","Cluster 1","Clustered","Clustered","32.29587482219061","32.29587482219061","""9606.ENSP00000479461""","true","""9606.ENSP00000479461"""
"Cluster 1","Cluster 1","Clustered","Clustered","32.29587482219061","32.29587482219061","""9606.ENSP00000479106""","true","""9606.ENSP00000479106"""
"","","Unclustered","Unclustered","2.0","2.0","""9606.ENSP00000478179""","false","""9606.ENSP00000478179"""
"","","Unclustered","Unclustered","0.3333333333333333","0.3333333333333333","""9606.ENSP00000477848""","false","""9606.ENSP00000477848"""
