"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000282057",213.129521887196,-1.38450579462299,0.395117689103075,-3.50403394433148,0.00045826694023415,0.0172794103923025
"ENSG00000133216",475.251359634868,-1.43359222116809,0.424554152379455,-3.37670050600938,0.0007336088130544,0.022866126294523
"ENSG00000143469",194.734271250108,-1.79146546987641,0.527633244774871,-3.39528543285932,0.000685570868981334,0.0220318791731434
"ENSG00000285928",15.5367659989776,-2.5464016623942,0.830399067418939,-3.06647943417009,0.00216595707869561,0.0408069871075904
"ENSG00000203721",32.4722165906937,-2.48822399952541,0.779242367532113,-3.19313233366109,0.00140738433361608,0.0318863918215544
"ENSG00000227496",22.2890939704725,-1.86905922874829,0.616378203694642,-3.03232531187011,0.00242677514575933,0.0433040810611794
"ENSG00000302966",31.6195778565644,-1.26536104220638,0.426587684985923,-2.96623903300943,0.00301466085078516,0.049146278211272
"ENSG00000143162",372.608923113314,-1.49628399404346,0.433913934402198,-3.44834280582597,0.000564037675666902,0.0195589616243149
"ENSG00000026751",10.1849721946796,-3.55555000879998,1.09213320005486,-3.25560106461499,0.00113152617306528,0.0283727766261072
"ENSG00000163431",66.6746895705105,-3.75615550742446,0.756861264186811,-4.96280584719863,6.94820300379224e-07,0.000238879219270377
"ENSG00000185860",29.1711753376389,-1.67175652152212,0.544171665996227,-3.07211239758615,0.00212549674760767,0.0405830341756351
"ENSG00000158109",231.299046952304,-1.36956878729427,0.257023431300644,-5.32857561026126,9.8985988518855e-08,5.67189714213039e-05
"ENSG00000143786",312.797002924344,-1.28803332152095,0.414447786054583,-3.10783014136144,0.00188466354242662,0.0372859714384683
"ENSG00000143367",140.839844598698,-1.22228147738039,0.390775066404113,-3.12783896021755,0.00176096637609326,0.0360721895052744
"ENSG00000058668",6111.16967932776,-1.45358537698009,0.228485550887038,-6.36182625700796,1.99368888963108e-10,3.8555451014353e-07
"ENSG00000163531",739.809649809553,-2.32856661243966,0.447668409979844,-5.20154328634559,1.97640426384544e-07,8.56992375431268e-05
"ENSG00000177628",363.226764072635,-1.07293896620443,0.233461045614291,-4.59579440065162,4.31103628272426e-06,0.00084425370038009
"ENSG00000064886",9.86421447442415,-3.42537889234168,1.15120989646295,-2.97545990775968,0.00292549587882122,0.0482884477141969
