"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0006261","DNA-templated DNA replication",160,0.630363806199775,2.68467107194055,1e-10,1.34840909090909e-08,1.15263157894737e-08,4439,"tags=50%, list=19%, signal=41%","1602/79733/4998/675/79075/55388/9156/641/9837/8318/5557/23594/990/10721/81620/26271/79915/4171/8914/90381/51659/5983/10926/672/84515/51053/4176/580/7083/23649/146956/9134/63922/84296/4174/5427/5888/80174/2237/1763/4172/253714/10293/5422/11169/10714/5424/378708/57697/4173/5426/3978/6240/5982/1017/9401/4796/5111/8317/29980/4175/11073/55159/64785/1663/142/56652/91607/348654/5984/5985/54962/64863/5558/11177/4361/92667/54107/79892/64710"
"GO:0044786","cell cycle DNA replication",43,0.782470636338952,2.68130867146181,1e-10,1.34840909090909e-08,1.15263157894737e-08,2505,"tags=60%, list=11%, signal=54%","1602/79733/675/641/9837/8318/81620/26271/79915/4171/10926/51053/7083/5888/80174/2237/1763/4172/5422/4173/3978/5111/8317/29980/4175/64785"
"GO:1905818","regulation of chromosome separation",76,0.698819340117314,2.65135728598319,1e-10,1.34840909090909e-08,1.15263157894737e-08,2482,"tags=50%, list=11%, signal=45%","221150/10403/9212/55143/57082/701/83540/1063/9787/64151/11130/991/5347/11065/10051/26271/147841/7272/9700/220134/332/891/9735/54892/83903/4085/699/57405/23397/3619/56155/9918/9319/10592/23310/5359/29781/55055"
"GO:0033260","nuclear DNA replication",39,0.78210354065242,2.62513658500186,1e-10,1.34840909090909e-08,1.15263157894737e-08,2505,"tags=62%, list=11%, signal=55%","1602/675/641/9837/8318/81620/79915/4171/10926/51053/7083/5888/80174/2237/1763/4172/5422/4173/3978/5111/8317/29980/4175/64785"
"GO:0051304","chromosome separation",83,0.67720657164959,2.61219500826656,1e-10,1.34840909090909e-08,1.15263157894737e-08,2482,"tags=46%, list=11%, signal=41%","221150/10403/9212/55143/57082/701/83540/1063/9787/64151/11130/991/5347/11065/10051/26271/147841/7272/9700/220134/332/891/9735/54892/83903/4085/699/57405/23397/3619/56155/9918/9319/10592/23310/5359/29781/55055"
"GO:0051306","mitotic sister chromatid separation",65,0.680217681518192,2.53447883651214,1e-10,1.34840909090909e-08,1.15263157894737e-08,2482,"tags=46%, list=11%, signal=41%","221150/10403/9212/55143/57082/701/83540/1063/9787/11130/991/5347/11065/26271/147841/7272/9700/220134/332/891/9735/83903/4085/699/57405/3619/56155/9319/29781/55055"
"GO:0065004","protein-DNA complex assembly",212,0.574385299385253,2.53320724483866,1e-10,1.34840909090909e-08,1.15263157894737e-08,2811,"tags=34%, list=12%, signal=31%","126961/8368/8359/8363/8344/11144/8340/8342/3148/8358/8346/8355/3007/3009/132243/3018/3024/55355/64105/1062/8352/1063/2491/8294/8318/9787/653604/8360/55723/8345/8357/81620/3008/8361/8208/4171/8968/8356/8970/8354/8350/8339/51053/8348/1058/23421/4678/8343/23493/9735/10036/29028/5888/3014/64946/387103/3006/11339/10541/8364/8362/54069/8367/23234/55839/401541/6877/3005/6749/3146/121504/79172/333932"
"GO:0010965","regulation of mitotic sister chromatid separation",62,0.683129508394155,2.52903967370721,1e-10,1.34840909090909e-08,1.15263157894737e-08,2051,"tags=45%, list=9%, signal=41%","221150/10403/9212/55143/57082/701/83540/1063/9787/11130/991/5347/11065/26271/147841/7272/9700/220134/332/891/9735/83903/4085/699/57405/3619/56155/9319"
"GO:0051983","regulation of chromosome segregation",130,0.609225916419478,2.52134180795642,1e-10,1.34840909090909e-08,1.15263157894737e-08,2629,"tags=37%, list=11%, signal=33%","221150/11004/10403/1062/4288/9212/157313/55143/57082/116028/983/701/83540/1063/9787/64151/11130/991/990/5347/10460/11065/10051/26271/147841/7272/9700/220134/332/891/9735/54892/83903/4085/699/57405/23397/3619/56155/9918/9319/10592/23310/5359/29781/55055/8193/56852"
"GO:0006260","DNA replication",266,0.55384780416119,2.50908160452364,1e-10,1.34840909090909e-08,1.15263157894737e-08,6850,"tags=59%, list=29%, signal=42%","1602/10535/79733/4998/675/374393/79075/55388/9156/116028/983/890/641/9837/8318/5557/23594/990/157570/9768/10721/81620/26271/80119/79915/8208/4171/8914/993/90381/51659/5983/10926/672/84515/51053/4176/51514/580/4678/7083/10036/23649/146956/9134/63922/84296/4174/5427/5888/80174/2237/1763/4172/253714/10293/5422/11169/10714/5424/378708/80010/57697/4173/5426/3978/6240/5982/1017/9401/4796/5111/8317/29980/4175/11073/55159/64785/6749/1663/142/4774/56652/91607/348654/5984/5985/7465/54962/57695/5753/64863/6119/1854/5558/79596/11177/4361/92667/9126/54107/79892/4781/11198/64710/51377/1111/63901/2735/6418/23338/283899/11124/222229/7270/8607/92797/51750/83444/91603/27000/3980/4999/998/86/3399/1027/5981/201973/6117/5932/5931/4683/25942/80169/1956/5980/5425/353497/144455/4798/80198/10919/1660/201254/79913/10856/254394/8467/5423/54465/6419/94/9093/7013/5001"
