"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa04110","Cell cycle",157,0.585943166233104,2.47826346108526,1e-10,3.51e-08,3.03157894736842e-08,2539,"tags=34%, list=11%, signal=30%","2810/1870/995/4998/10403/85417/9212/151648/57082/983/890/701/8318/991/23594/990/157570/113130/5347/1031/81620/26271/7272/4171/993/994/9088/90381/10926/9700/1869/4176/1028/5933/891/9232/9133/9134/4085/699/4174/80174/4172/9319/4173/8900/1017/27085/5111/27127/8317/4175/1663"
"hsa03040","Spliceosome",173,0.501780448504051,2.1452224589051,2.13253985176998e-10,3.74260743985631e-08,3.23248145952502e-08,7634,"tags=62%, list=33%, signal=42%","26870/343069/124904619/102724594/101954264/124904616/26871/124904138/124904631/124900488/101954278/84321/6063/642659/124900887/57819/6100/124902333/26827/124904136/101954267/84811/6632/151903/6636/4670/27316/2521/6060/84991/9984/10189/23350/9128/84950/124904634/10946/9879/4116/9410/494115/23658/3192/6434/10915/11157/3178/55119/8175/220988/51729/1665/55702/3304/10465/6626/6628/6635/6426/6428/6429/84844/6637/27339/10523/988/9416/124904621/26864/22794/26828/6432/7536/11338/3303/9092/10286/6627/10772/6427/27258/22938/25766/10291/26121/57461/57187/9716/23450/55110/3183/55660/51691/9129/9785/8449/9775/10713/3312/10285/58517/11017/51634/51503/80145/10992/22985"
"hsa03460","Fanconi anemia pathway",54,0.647664114880548,2.30389591493141,5.92475594109067e-08,6.93196445107608e-06,5.98712179310215e-06,6798,"tags=70%, list=29%, signal=50%","79008/675/2175/116028/641/2178/2177/55215/672/83990/146956/2187/5888/29089/7398/378708/80010/57697/2189/55120/6119/91442/84126/2176/9894/5889/6117/4292/7156/3280/5980/353497/80198/201254/100526739/548593/22909/79728"
"hsa03030","DNA replication",36,0.714364807589998,2.329229739499,1.31243336280254e-07,1.15166027585923e-05,9.9468633812403e-06,4306,"tags=69%, list=18%, signal=57%","10535/5557/4171/5983/4176/23649/4174/5427/2237/1763/4172/5422/10714/5424/4173/5426/3978/5982/5111/4175/5984/5985/6119/5558/54107"
"hsa05322","Systemic lupus erythematosus",104,0.514664147399239,2.04259736993341,1.97020859705752e-07,1.38308643513438e-05,1.19456858095277e-05,2455,"tags=49%, list=10%, signal=44%","730/3112/126961/8368/8359/3113/8363/8344/8340/8342/8358/8346/8332/8355/8335/3018/85235/8352/8294/317772/653604/8360/3115/8345/8331/8357/8336/8361/440689/8969/8968/8356/8970/8354/8350/8339/8348/8329/8343/3014/3012/3015/8364/717/8362/8367/727/3013/128312/8338/8330"
"hsa03082","ATP-dependent chromatin remodeling",110,0.48730289771031,1.93025998207713,1.3505493566033e-06,6.77204034525371e-05,5.84899570980077e-05,8295,"tags=61%, list=35%, signal=40%","124944/8332/8335/85235/317772/8331/8336/8969/8329/3014/3012/3015/3013/8338/8330/8193/11177/54107/723790/51377/9031/92815/283899/8607/94239/54556/83444/3066/86/10902/196528/5931/8089/404281/53615/1108/4798/79913/10856/57634/8467/8289/5928/9274/6599/29117/6597/605/9555/57492/65980/9219/55274/6598/6595/6605/54815/8295/29844/26039/55193/29998/6601/84295/9112/6944/54617"
"hsa05034","Alcoholism",164,0.435591158714456,1.84921834325193,1.30313016070914e-06,6.77204034525371e-05,5.84899570980077e-05,2455,"tags=30%, list=10%, signal=27%","126961/8368/8359/51764/8363/8344/8340/8342/8358/8346/8332/8355/8335/3018/91860/85235/8352/8294/317772/653604/8360/8345/8331/8357/8336/8361/440689/8969/8968/8356/8970/8354/8350/8339/8348/8329/8343/94235/3014/3012/2784/3015/8364/8362/8367/3013/128312/8338/135/8330"
"hsa04142","Lysosome",239,-0.434779293969892,-1.74541931219078,2.05875614188809e-06,9.03279257253399e-05,7.80160222189171e-05,8159,"tags=56%, list=35%, signal=37%","84335/53/9374/7879/121260/1513/23457/1512/10542/1497/1212/162/1213/114876/55745/153129/1173/2588/23312/2720/55004/57617/206358/8673/23461/160/10312/1175/138050/54832/2519/5007/8763/55317/57707/3073/528/5641/282991/10670/533/10053/51606/9896/4286/11182/523/55207/1174/64798/526/4758/84286/2581/57192/1522/3074/23339/8372/8649/1186/55315/118426/64121/9114/4864/10325/79641/8218/4125/6448/529/4891/175/79158/10577/28962/9550/3916/950/4669/968/127829/411/967/3920/9907/2548/2799/9885/27072/6609/537/9296/8992/3482/410/2760/127124/51284/285362/9842/23659/1200/5476/2629/84572/9741/53373/22901/535/1777/55283/20/4126/1520/2055/427/3423/3988/7942/26503/5660/255231/8722/1509/1508/1519/151556/58528/50617/2517/3425/245972/6272"
"hsa04613","Neutrophil extracellular trap formation",161,0.414282826280183,1.76046731108178,9.55732367607791e-06,0.000335462061030335,0.000289737812495836,2678,"tags=33%, list=11%, signal=29%","6403/126961/8368/8359/8363/8344/8340/8342/8358/8346/8332/8355/8335/3018/5582/85235/8352/8294/317772/653604/8360/8345/8331/8357/8336/8361/440689/8969/653361/8968/8356/8970/8354/8350/8339/8348/8329/8343/3674/3014/3012/3015/8364/8362/8367/5330/727/3013/128312/8338/8330/3146/121504"
"hsa04820","Cytoskeleton in muscle cells",213,-0.427699663828566,-1.706274448878,8.83469384363791e-06,0.000335462061030335,0.000289737812495836,5917,"tags=42%, list=25%, signal=32%","1289/6640/7138/11155/6382/271/3685/129446/2274/7414/7168/57644/9672/23500/114793/64236/1293/7060/2200/1292/3678/375790/1756/1278/4635/7057/3690/7169/6641/56203/6442/1277/3688/1284/8572/84665/270/58498/478/284217/84675/2026/1291/8082/1282/1832/3728/3675/6385/26287/29767/1285/6383/3693/57159/171024/127294/2201/1837/1829/752/5318/50509/57731/2335/70/10398/93661/8736/27063/6712/7111/7125/1302/3679/1158/1674/9172/1311/3694/1299/22801/58529/287/51778/272/442721/25802/165904"
