"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Genetic Information Processing","Replication and repair","hsa03030","DNA replication","14/130","36/9564",0.388888888888889,28.6102564102564,19.48236314013,1.06083133246746e-17,1.59124699870119e-15,1.49633051105937e-15,"4171/4172/4176/5982/5422/54107/23649/10714/2237/1763/5985/5426/5111/3978",14
"Genetic Information Processing","Replication and repair","hsa03460","Fanconi anemia pathway","11/130","55/9564",0.2,14.7138461538462,11.9727527027423,1.37514583153294e-10,1.03135937364971e-08,9.69839691712708e-09,"7398/55120/84126/2178/80010/2189/57697/116028/2175/672/146956",11
"Genetic Information Processing","Replication and repair","hsa03410","Base excision repair","9/130","44/9564",0.204545454545455,15.0482517482517,10.9635439883764,5.68634587997988e-09,2.84317293998994e-07,2.67358016813089e-07,"142/5982/54107/10714/2237/5985/5426/5111/3978",9
"Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","14/130","144/9564",0.0972222222222222,7.1525641025641,8.73238268802507,7.99759809297353e-09,2.99909928486507e-07,2.82020564331172e-07,"317772/440689/8344/8357/8339/8340/8367/8359/3018/3017/8970/727/3014/6632",14
"Genetic Information Processing","Replication and repair","hsa03430","Mismatch repair","6/130","23/9564",0.260869565217391,19.1919732441472,10.2533928372761,4.69139450975411e-07,1.40741835292623e-05,1.32346708275169e-05,"4436/5982/10714/5985/5111/3978",6
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","12/130","158/9564",0.0759493670886076,5.58753651411879,6.82537328652292,1.46060663976037e-06,3.65151659940093e-05,3.43370683733141e-05,"4171/4172/4176/8243/9126/23047/23594/80174/990/1869/994/5111",12
"Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","13/130","196/9564",0.0663265306122449,4.87959183673469,6.44186248365374,2.41902152868622e-06,5.18361756147047e-05,4.8744193209617e-05,"317772/440689/8344/8357/8339/8340/8367/8359/3018/3017/8970/727/3014",13
"Human Diseases","Substance dependence","hsa05034","Alcoholism","12/130","191/9564",0.06282722513089,4.62215062424487,5.9356010002022,1.04957375894584e-05,0.000196795079802344,0.000185056425919397,"317772/440689/8344/8357/8339/8340/8367/8359/3018/3017/8970/3014",12
"Genetic Information Processing","Replication and repair","hsa03420","Nucleotide excision repair","7/130","63/9564",0.111111111111111,8.17435897435897,6.70640129321585,2.14268129698511e-05,0.000357113549497518,0.000335812039527491,"5982/54107/10714/5985/5426/5111/3978",7
"Genetic Information Processing","Replication and repair","hsa03440","Homologous recombination","5/130","41/9564",0.121951219512195,8.9718574108818,6.00461789690871,0.000217412720132951,0.00326119080199426,0.00306666363134899,"11073/10714/4361/672/146956",5
"Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","10/130","205/9564",0.0487804878048781,3.58874296435272,4.39816943966468,0.000468444656768328,0.00638788168320447,0.00600685014420631,"440689/8344/8339/8340/8367/8359/3018/3017/8970/5902",10
