from	to	combined_score
9606.ENSP00000055077	9606.ENSP00000209728	978
9606.ENSP00000055077	9606.ENSP00000209728	978
9606.ENSP00000160827	9606.ENSP00000209728	475
9606.ENSP00000160827	9606.ENSP00000209728	475
9606.ENSP00000209875	9606.ENSP00000216297	465
9606.ENSP00000209875	9606.ENSP00000216297	465
9606.ENSP00000160827	9606.ENSP00000216911	898
9606.ENSP00000160827	9606.ENSP00000216911	898
9606.ENSP00000209728	9606.ENSP00000216911	863
9606.ENSP00000209728	9606.ENSP00000216911	863
9606.ENSP00000216639	9606.ENSP00000216911	402
9606.ENSP00000216639	9606.ENSP00000216911	402
9606.ENSP00000055077	9606.ENSP00000219097	555
9606.ENSP00000055077	9606.ENSP00000219097	555
9606.ENSP00000209728	9606.ENSP00000219097	999
9606.ENSP00000209728	9606.ENSP00000219097	999
9606.ENSP00000216911	9606.ENSP00000219097	427
9606.ENSP00000216911	9606.ENSP00000219097	427
9606.ENSP00000052754	9606.ENSP00000222390	586
9606.ENSP00000052754	9606.ENSP00000222390	586
9606.ENSP00000216639	9606.ENSP00000229179	519
9606.ENSP00000216639	9606.ENSP00000229179	519
9606.ENSP00000055077	9606.ENSP00000229769	930
9606.ENSP00000055077	9606.ENSP00000229769	930
9606.ENSP00000229179	9606.ENSP00000231498	998
9606.ENSP00000229179	9606.ENSP00000231498	998
9606.ENSP00000055077	9606.ENSP00000233146	774
9606.ENSP00000055077	9606.ENSP00000233146	774
9606.ENSP00000209728	9606.ENSP00000233146	691
9606.ENSP00000209728	9606.ENSP00000233146	691
9606.ENSP00000216297	9606.ENSP00000233146	624
9606.ENSP00000216297	9606.ENSP00000233146	624
9606.ENSP00000231498	9606.ENSP00000240662	411
9606.ENSP00000231498	9606.ENSP00000240662	411
9606.ENSP00000222390	9606.ENSP00000243347	501
9606.ENSP00000222390	9606.ENSP00000243347	501
9606.ENSP00000055077	9606.ENSP00000244537	634
9606.ENSP00000055077	9606.ENSP00000244537	634
9606.ENSP00000209728	9606.ENSP00000244537	631
9606.ENSP00000209728	9606.ENSP00000244537	631
